source,target,weight
miss_pattygt,marycarr09,1
miss_pattygt,kristhalfgr,1
miss_pattygt,dirlyngge,1
miss_pattygt,rompeelmiedogt,1
miss_pattygt,ndiguate,1
miss_pattygt,marielosmonzon,1
miss_pattygt,toro_esco,1
miss_pattygt,joseagrysian,1
miss_pattygt,utopiacode,1
miss_pattygt,apariciolopezde,1
miss_pattygt,alex_balsells,1
oalmeguz,emixtragt,1
oalmeguz,traficogt,1
oalmeguz,transito_mixco,1
oalmeguz,netobran,1
oalmeguz,deportivo_mixco,1
luciourquidez,traficogt,4
luciourquidez,anongtreloaded,1
luciourquidez,alvaroarzue,1
luciourquidez,cmiguate,2
l12baquiax,traficogt,1
comunicalord,traficogt,14
comunicalord,wichochicken,1
comunicalord,barevalodeleon,1
comunicalord,justiciayagt,1
comunicalord,asdlkjhdf,1
comunicalord,ralphsly12,2
comunicalord,miles_mayhem_,2
comunicalord,manu_diaz,2
comunicalord,byron96324753,1
comunicalord,prensacomunitar,2
comunicalord,hsanchezgt,1
_jhernandez81,traficogt,1
gudielarma24032,traficogt,2
gudielarma24032,barevalodeleon,1
castcn,traficogt,1
rickyr7,traficogt,9
rickyr7,lahoragt,1
rickyr7,alvaroarzue,1
rickyr7,josuefiallo,1
rickyr7,marieloscm,1
rickyr7,pedgar05,1
rickyr7,ejercito_gt,1
rickyr7,ramiromz,1
rickyr7,coronavirusgt,1
rickyr7,noficciongt,1
eledycito,traficogt,2
fmendezargueta,gorkygirl2,1
fmendezargueta,prensacomunitar,1
fmendezargueta,traficogt,3
fmendezargueta,drbmo,1
fmendezargueta,lala501907,1
fmendezargueta,pmtmuniguate,1
gorkygirl2,prensacomunitar,2
gorkygirl2,traficogt,4
gorkygirl2,tetobustamante,1
gorkygirl2,monymmorales,1
gorkygirl2,lineasfrescas,1
blablabla1950,tito8829,1
blablabla1950,prensacomunitar,3
blablabla1950,traficogt,5
blablabla1950,antonio00677714,1
blablabla1950,nelton_rivera,1
blablabla1950,mustafarcastle,1
blablabla1950,batallonjalapa,1
blablabla1950,marieloscm,1
blablabla1950,marideaguilar1,1
tito8829,prensacomunitar,1
tito8829,traficogt,1
quiquegodoy,satgt,2
quiquegodoy,mpguatemala,1
sirpedrogt,jovannagarcon,1
sirpedrogt,traficogt,6
sirpedrogt,manfredoguate,1
sirpedrogt,noficciongt,1
sirpedrogt,elbencho_gt,1
sirpedrogt,quorumgt,1
sirpedrogt,pialaperiodista,1
sirpedrogt,xavimonterroso,1
roanchi2,figueroasarti,2
roanchi2,traficogt,18
roanchi2,domingo94096837,1
roanchi2,mpguatemala,1
roanchi2,cc_guatemala,1
roanchi2,ricigt1,2
roanchi2,manfredoguate,2
roanchi2,lahoragt,1
roanchi2,josechic86,1
roanchi2,congresoguate,1
roanchi2,prensacomunitar,2
roanchi2,oco_motora,1
roanchi2,blogcatarsis,1
roanchi2,aolalexthegreat,1
roanchi2,change,1
roanchi2,hshetemul,1
roanchi2,wechalal,1
roanchi2,tpeyker,1
roanchi2,agenciaocote,1
